# time w x y z
1609761768318656022 0.99894 -0.0332852 -0.0316556 8.87451e-06
1609761768323656022 0.998917 -0.0336406 -0.032004 8.52329e-06
1609761768328656022 0.998894 -0.033996 -0.0323522 8.26167e-06
1609761768333656022 0.99887 -0.0343522 -0.0326992 8.12309e-06
1609761768338656022 0.998847 -0.0347084 -0.0330462 7.93799e-06
1609761768343656022 0.998823 -0.0350652 -0.0333924 7.74078e-06
1609761768348656022 0.998799 -0.0354218 -0.0337388 7.59784e-06
1609761768353656022 0.998774 -0.035778 -0.0340855 7.56317e-06
1609761768358656022 0.998749 -0.0361342 -0.0344323 7.48041e-06
1609761768363656022 0.998724 -0.0364945 -0.0347747 7.58811e-06
1609761768368656022 0.998699 -0.0368547 -0.0351172 7.8366e-06
1609761768373656022 0.998674 -0.0372142 -0.0354604 7.93774e-06
1609761768378656022 0.998648 -0.0375737 -0.0358036 8.08012e-06
1609761768383656022 0.998622 -0.0379306 -0.0361492 7.91772e-06
1609761768388656022 0.998596 -0.0382875 -0.0364947 7.75012e-06
1609761768393656022 0.998569 -0.038648 -0.0368364 7.91571e-06
1609761768398656022 0.998543 -0.0390084 -0.0371781 8.1345e-06
1609761768403656022 0.998516 -0.0393722 -0.037516 8.57232e-06
1609761768408656022 0.998489 -0.039736 -0.0378538 9.04935e-06
1609761768413656022 0.998461 -0.0400919 -0.0381998 8.8635e-06
1609761768418656022 0.998434 -0.0404479 -0.0385458 8.57951e-06
1609761768423656022 0.998406 -0.0408038 -0.0388919 8.29087e-06
1609761768428656022 0.998378 -0.0411595 -0.0392379 8.09679e-06
1609761768433656022 0.998349 -0.0415269 -0.0395715 8.85231e-06
1609761768438656022 0.998321 -0.0418942 -0.0399051 9.65578e-06
1609761768443656022 0.998292 -0.0422554 -0.0402452 1.00994e-05
1609761768448656022 0.998263 -0.0426165 -0.0405852 1.03052e-05
1609761768453656022 0.998233 -0.0429762 -0.0409265 1.04965e-05
1609761768458656022 0.998204 -0.0433357 -0.0412676 1.05966e-05
1609761768463656022 0.998174 -0.0436889 -0.0416152 1.02039e-05
1609761768468656022 0.998144 -0.0440421 -0.0419629 9.8173e-06
1609761768473656022 0.998113 -0.0444048 -0.0423006 1.0307e-05
1609761768478656022 0.998083 -0.0447675 -0.0426383 1.07485e-05
1609761768483656022 0.998052 -0.0451273 -0.042979 1.09158e-05
1609761768488656022 0.998021 -0.0454871 -0.0433196 1.10323e-05
1609761768493656022 0.99799 -0.0458398 -0.0436673 1.06248e-05
1609761768498656022 0.997958 -0.0461925 -0.0440151 1.01772e-05
1609761768503656022 0.997926 -0.0465444 -0.0443637 9.68601e-06
1609761768508656022 0.997894 -0.0468962 -0.0447121 9.19239e-06
1609761768513656022 0.997862 -0.047251 -0.0450572 8.9961e-06
1609761768518656022 0.99783 -0.0476057 -0.0454022 8.83942e-06
1609761768523656022 0.997797 -0.0479637 -0.0457436 8.92494e-06
1609761768528656022 0.997764 -0.0483217 -0.046085 9.00399e-06
1609761768533656022 0.997731 -0.0486889 -0.0464164 1.00748e-05
1609761768538656022 0.997697 -0.049056 -0.0467477 1.0964e-05
1609761768543656022 0.997663 -0.0494194 -0.0470833 1.15363e-05
1609761768548656022 0.997629 -0.0497827 -0.0474188 1.21063e-05
1609761768553656022 0.997595 -0.0501371 -0.0477635 1.18843e-05
1609761768558656022 0.997561 -0.0504915 -0.048108 1.16134e-05
1609761768563656022 0.997526 -0.0508442 -0.0484543 1.12157e-05
1609761768568656022 0.997491 -0.0511969 -0.0488006 1.08225e-05
1609761768573656022 0.997456 -0.0515608 -0.0491349 1.1501e-05
1609761768578656022 0.997421 -0.0519246 -0.0494691 1.22231e-05
1609761768583656022 0.997385 -0.05229 -0.049801 1.30674e-05
1609761768588656022 0.997349 -0.0526556 -0.0501328 1.39438e-05
1609761768593656022 0.997313 -0.0530049 -0.0504816 1.32555e-05
1609761768598656022 0.997277 -0.0533542 -0.0508304 1.23351e-05
1609761768603656022 0.99724 -0.0537056 -0.0511768 1.1775e-05
1609761768608656022 0.997203 -0.0540569 -0.0515234 1.12196e-05
1609761768613656022 0.997166 -0.0544147 -0.051863 1.13318e-05
1609761768618656022 0.997129 -0.0547725 -0.0522026 1.15365e-05
1609761768623656022 0.997092 -0.0551244 -0.0525482 1.11091e-05
1609761768628656022 0.997054 -0.0554763 -0.0528937 1.06817e-05
1609761768633656022 0.997016 -0.0558338 -0.0532334 1.08624e-05
1609761768638656022 0.996977 -0.056191 -0.053573 1.11402e-05
1609761768643656022 0.996939 -0.0565585 -0.0539013 1.24631e-05
1609761768648656022 0.9969 -0.0569259 -0.0542295 1.37858e-05
1609761768653656022 0.996861 -0.0572904 -0.0545609 1.48296e-05
1609761768658656022 0.996822 -0.0576547 -0.0548921 1.58807e-05
1609761768663656022 0.996783 -0.0580164 -0.0552261 1.65052e-05
1609761768668656022 0.996743 -0.058378 -0.0555602 1.71759e-05
1609761768673656022 0.996703 -0.0587258 -0.0559085 1.62312e-05
1609761768678656022 0.996663 -0.0590735 -0.0562567 1.51963e-05
1609761768683656022 0.996622 -0.0594256 -0.0566004 1.48143e-05
1609761768688656022 0.996582 -0.0597777 -0.0569442 1.45737e-05
1609761768693656022 0.996541 -0.0601404 -0.0572765 1.54589e-05
1609761768698656022 0.9965 -0.060503 -0.0576087 1.64393e-05
1609761768703656022 0.996459 -0.0608686 -0.0579374 1.7716e-05
1609761768708656022 0.996417 -0.0612341 -0.0582661 1.88945e-05
1609761768713656022 0.996375 -0.0615843 -0.0586107 1.8177e-05
1609761768718656022 0.996333 -0.0619345 -0.0589553 1.75084e-05
1609761768723656022 0.996291 -0.0623026 -0.0592805 1.91084e-05
1609761768728656022 0.996248 -0.0626706 -0.0596057 2.06616e-05
1609761768733656022 0.996206 -0.0630173 -0.0599536 1.9554e-05
