# time x y z
1609761768478656022 -0.0042612 -0.0042612 0.0021306
1609761768483656022 -0.0063918 -0.0021306 0.0021306
1609761768488656022 -0.0063918 0 0.0010653
1609761768493656022 -0.0042612 -0.0021306 0.0031959
1609761768498656022 -0.0042612 -0.0053265 0.0021306
1609761768503656022 -0.0074571 -0.0031959 0.0031959
1609761768508656022 -0.0063918 -0.0010653 0.0031959
1609761768513656022 -0.0042612 -0.0010653 0.0031959
1609761768518656022 -0.0042612 0.0021306 0.0042612
1609761768523656022 -0.0010653 0 0.0021306
1609761768528656022 -0.0042612 0 0.0021306
1609761768533656022 -0.0053265 0.0010653 0.0042612
1609761768538656022 -0.0042612 0 0
1609761768543656022 -0.0042612 -0.0042612 0.0010653
1609761768548656022 -0.0053265 -0.0042612 0.0010653
1609761768553656022 -0.0042612 -0.0021306 0.0031959
1609761768558656022 -0.0042612 -0.0010653 0.0021306
1609761768563656022 -0.0063918 -0.0021306 0.0031959
1609761768568656022 -0.0074571 -0.0053265 0.0031959
1609761768573656022 -0.0063918 -0.0031959 0.0010653
1609761768578656022 -0.0063918 -0.0021306 0.0021306
1609761768583656022 0 0 0
1609761768588656022 -0.0042612 0.0021306 0.0010653
1609761768593656022 -0.0053265 -0.0010653 0.0042612
1609761768598656022 -0.0053265 -0.0010653 -0.0010653
1609761768603656022 -0.0053265 0 0.0021306
1609761768608656022 -0.0053265 -0.0021306 0.0021306
1609761768613656022 -0.0042612 -0.0021306 0.0010653
1609761768618656022 -0.0042612 -0.0021306 0.0031959
1609761768623656022 -0.0053265 -0.0031959 0.0031959
1609761768628656022 -0.0063918 -0.0042612 0.0031959
1609761768633656022 -0.0074571 -0.0031959 0.0031959
1609761768638656022 -0.0042612 -0.0021306 0.0053265
1609761768643656022 -0.0031959 -0.0010653 0.0021306
1609761768648656022 -0.0042612 -0.0021306 0.0021306
1609761768653656022 -0.0031959 -0.0021306 0.0031959
1609761768658656022 0 -0.0021306 0.0031959
1609761768663656022 -0.0031959 0 0.0010653
1609761768668656022 -0.0042612 -0.0010653 0.0021306
1609761768673656022 -0.0053265 0 0.0021306
1609761768678656022 -0.0053265 -0.0010653 0
1609761768683656022 -0.0053265 -0.0010653 0.0031959
1609761768688656022 -0.0063918 -0.0031959 0.0063918
1609761768693656022 -0.0042612 -0.0042612 0.0021306
1609761768698656022 -0.0031959 -0.0042612 0.0042612
1609761768703656022 -0.0021306 -0.0042612 0.0021306
1609761768708656022 -0.0031959 -0.0031959 0
1609761768713656022 -0.0031959 0 0
1609761768718656022 -0.0021306 0 0.0010653
1609761768723656022 -0.0031959 -0.0010653 0.0010653
1609761768728656022 -0.0031959 -0.0010653 0
1609761768733656022 -0.0053265 -0.0031959 0.0010653
1609761768738656022 -0.0063918 -0.0021306 0.0010653
1609761768743656022 -0.0063918 -0.0031959 0.0042612
1609761768748656022 -0.0063918 -0.0042612 0.0042612
1609761768753656022 -0.0063918 -0.0042612 0.0021306
1609761768758656022 -0.0063918 -0.0010653 0.0021306
1609761768763656022 -0.0063918 -0.0021306 0.0010653
1609761768768656022 -0.0042612 -0.0010653 0
1609761768773656022 -0.0042612 0.0010653 0.0010653
1609761768778656022 -0.0031959 0.0021306 0.0021306
1609761768783656022 -0.0031959 0 0.0042612
1609761768788656022 -0.0021306 0 0.0053265
1609761768793656022 -0.0031959 -0.0010653 0.0021306
1609761768798656022 -0.0031959 -0.0021306 0.0010653
1609761768803656022 -0.0053265 -0.0031959 0.0042612
1609761768808656022 -0.0074571 -0.0053265 0.0053265
1609761768813656022 -0.00958769 -0.0031959 0.0021306
1609761768818656022 -0.0063918 -0.0031959 0.0053265
1609761768823656022 -0.0063918 -0.0031959 0.0031959
1609761768828656022 -0.0042612 -0.0031959 0.0021306
1609761768833656022 -0.0021306 -0.0042612 0.0031959
1609761768838656022 -0.0053265 -0.0010653 0.0031959
1609761768843656022 -0.0031959 -0.0010653 0.0021306
1609761768848656022 -0.0042612 -0.0010653 0.0010653
1609761768853656022 -0.0042612 -0.0021306 0.0010653
1609761768858656022 -0.0031959 -0.0031959 0.0031959
1609761768863656022 -0.0074571 -0.0010653 0.0042612
1609761768868656022 -0.0053265 -0.0021306 0.0042612
1609761768873656022 -0.0053265 -0.0021306 0.0042612
1609761768878656022 -0.0053265 -0.0021306 0.0031959
1609761768883656022 -0.0053265 -0.0031959 0.0053265
1609761768888656022 -0.0031959 -0.0031959 0.0010653
1609761768893656022 -0.0031959 -0.0010653 0
1609761768898656022 -0.0010653 0 0.0010653
